model,examples,languages,structure_percent,average_seconds,average_generated_tokens
mistralai/Ministral-3-3B-Instruct-2512-BF16,4,"javascript,php,python,sql",50.0,32.297,576.2
Qwen/Qwen3-1.7B,4,"javascript,php,python,sql",87.5,18.65,292.0
