model,example_id,language,fidelidade_codigo,cobertura_regras,sem_alucinacoes,clareza,estrutura,observacoes
Qwen/Qwen3-1.7B,,,,,,,,
mistralai/Ministral-3-3B-Instruct-2512-BF16,,,,,,,,
